female	male	year	age
5.3580116586	5.6907534687	1975	0~5
5.7681924817	6.1156540533	1975	5~10
6.0490576117	6.3853375889	1975	10~15
5.795745804	6.0823065201	1975	15~20
5.2922781845	5.5368740195	1975	20~25
3.5741960116	3.7682589302	1975	25~30
2.7487305285	2.9009148628	1975	30~35
2.7049965639	2.8230382019	1975	35~40
2.3718540902	2.7703293744	1975	40~45
2.0647855658	3.0824216029	1975	45~50
1.6762344089	2.5041593497	1975	50~55
1.2652645868	1.7371106082	1975	55~60
1.0753932251	1.3564987531	1975	60~65
0.7966670219	0.8288433849	1975	65~70
0.5242897946	0.4762224999	1975	70~75
0.3100889109	0.2267940464	1975	75~80
0.1450895079	0.0854214632	1975	80~85
0.0567524471	0.0257225982	1975	85~90
0.019336638	0.006373632	1975	90+
5.3549703472	5.6899937556	1976	0~5
5.5800523253	5.9130250377	1976	5~10
5.922783938	6.2471196015	1976	10~15
5.7286433434	6.0194320332	1976	15~20
5.2871526249	5.5378622713	1976	20~25
3.9938027968	4.199258408	1976	25~30
2.6303131346	2.7777702385	1976	30~35
2.7152541684	2.8324755694	1976	35~40
2.3601279079	2.6276954815	1976	40~45
2.0815348277	3.0047943463	1976	45~50
1.6968966396	2.5507702565	1976	50~55
1.3236217197	1.8395285764	1976	55~60
1.0629239776	1.3820605236	1976	60~65
0.8241385252	0.8564731757	1976	65~70
0.5441461466	0.4986930734	1976	70~75
0.3257470248	0.2415237347	1976	75~80
0.1488202135	0.0903693466	1976	80~85
0.0573772672	0.0269545892	1976	85~90
0.0196987443	0.0061943081	1976	90+
5.3458308655	5.6922046152	1977	0~5
5.4489462863	5.7625278158	1977	5~10
5.7035539457	6.0196114774	1977	10~15
5.730872898	6.0359305826	1977	15~20
5.2669601262	5.5175516864	1977	20~25
4.2789464054	4.4931442876	1977	25~30
2.6391576901	2.7882272375	1977	30~35
2.6897558016	2.8086157531	1977	35~40
2.3775722064	2.5630413552	1977	40~45
2.0927253338	2.8882446939	1977	45~50
1.713902924	2.6061759195	1977	50~55
1.363524922	1.9191800902	1977	55~60
1.0617132881	1.3594673586	1977	60~65
0.8532137649	0.9402825592	1977	65~70
0.5597068082	0.521796727	1977	70~75
0.3373582585	0.2566275559	1977	75~80
0.154353265	0.0941354704	1977	80~85
0.0591456501	0.0285273361	1977	85~90
0.0208564681	0.0066105704	1977	90+
5.3747913602	5.734971755	1978	0~5
5.2563433982	5.5740415734	1978	5~10
5.5143234779	5.8392240984	1978	10~15
5.6865659747	5.989475594	1978	15~20
5.2785204189	5.5299142432	1978	20~25
4.4765435424	4.6940701786	1978	25~30
2.7256866462	2.8799666281	1978	30~35
2.6698691486	2.7976413416	1978	35~40
2.3905084444	2.5186875552	1978	40~45
2.0921214259	2.7371849809	1978	45~50
1.763134188	2.6722641506	1978	50~55
1.3983672481	1.9800271949	1978	55~60
1.0622124435	1.3734987567	1978	60~65
0.8772857373	0.9976636523	1978	65~70
0.5811251405	0.5422761157	1978	70~75
0.3370732762	0.2658800984	1978	75~80
0.1661212902	0.1039442485	1978	80~85
0.0610841767	0.0295422332	1978	85~90
0.0211074082	0.0069408553	1978	90+
5.4199644794	5.7856131998	1979	0~5
5.0858495838	5.3925462406	1979	5~10
5.3632811184	5.6762651593	1979	10~15
5.5888061079	5.8905150394	1979	15~20
5.2907909432	5.5367342552	1979	20~25
4.6181605531	4.8340350065	1979	25~30
2.9007641594	3.0674681913	1979	30~35
2.6059867411	2.7464182859	1979	35~40
2.4061015101	2.5000189534	1979	40~45
2.1021637779	2.5899006143	1979	45~50
1.7993546966	2.7088706895	1979	50~55
1.4354844566	2.0529762555	1979	55~60
1.0629897269	1.3903897192	1979	60~65
0.8917938921	1.0380339994	1979	65~70
0.6045921161	0.5758685183	1979	70~75
0.349528392	0.2808801904	1979	75~80
0.1736469455	0.1099294667	1979	80~85
0.0628396392	0.0317846361	1979	85~90
0.0221797021	0.0074730376	1979	90+
5.4043522202	5.775666282	1980	0~5
4.9405776601	5.2369113458	1980	5~10
5.2255154033	5.540818072	1980	10~15
5.475352972	5.7590089515	1980	15~20
5.2522869127	5.5046656198	1980	20~25
4.7461749709	4.9651438643	1980	25~30
3.1960077484	3.3797365366	1980	30~35
2.4692421497	2.6085457927	1980	35~40
2.4330113364	2.5290708478	1980	40~45
2.1235969445	2.4542192078	1980	45~50
1.8384073264	2.7013980963	1980	50~55
1.4746886938	2.1389669142	1980	55~60
1.0932660503	1.4451129766	1980	60~65
0.8974360697	1.0699648181	1980	65~70
0.6250528937	0.5960145098	1980	70~75
0.3669258404	0.2993058102	1980	75~80
0.1822399274	0.1189521464	1980	80~85
0.0669091831	0.0352009246	1980	85~90
0.0222657462	0.0079872348	1980	90+
5.2985950553	5.6555817578	1981	0~5
4.9755152192	5.2748069345	1981	5~10
5.0613679104	5.3619842415	1981	10~15
5.3694427627	5.6438580836	1981	15~20
5.2071635881	5.4538883932	1981	20~25
4.7624939163	4.9818854669	1981	25~30
3.5909839285	3.7778426956	1981	30~35
2.3685119591	2.5043482849	1981	35~40
2.4464664225	2.5365293033	1981	40~45
2.1168459524	2.3364573563	1981	45~50
1.8582985393	2.6391018336	1981	50~55
1.4939742349	2.1913981869	1981	55~60
1.144402083	1.5355539793	1981	60~65
0.8896801163	1.0925551921	1981	65~70
0.6480943808	0.6248449004	1981	70~75
0.3813244564	0.3189905658	1981	75~80
0.1929651909	0.1271576191	1981	80~85
0.0682149648	0.0373915402	1981	85~90
0.0231450501	0.0083379342	1981	90+
5.2420495541	5.5915681317	1982	0~5
4.9682286771	5.2626050227	1982	5~10
4.950919093	5.2302163876	1982	10~15
5.1801563145	5.4545388754	1982	15~20
5.2197550259	5.4714163949	1982	20~25
4.7683826432	4.975114705	1982	25~30
3.8560136411	4.0527758146	1982	30~35
2.385908778	2.5198109675	1982	35~40
2.4266794644	2.5168567264	1982	40~45
2.1393565717	2.2755162982	1982	45~50
1.8688787937	2.5436609279	1982	50~55
1.5151907937	2.2465085678	1982	55~60
1.1824687237	1.6067182573	1982	60~65
0.8895343933	1.0806635258	1982	65~70
0.6698025908	0.693128673	1982	70~75
0.3958304912	0.3372803506	1982	75~80
0.201709312	0.1372506893	1982	80~85
0.071641695	0.0387399833	1982	85~90
0.0237851507	0.009337994	1982	90+
5.1268622538	5.4565334957	1983	0~5
5.0173816205	5.3188631427	1983	5~10
4.8079996432	5.0852828163	1983	10~15
5.0330969768	5.3089113255	1983	15~20
5.1871159836	5.4468264826	1983	20~25
4.7868081265	4.9943487515	1983	25~30
4.0562595919	4.2403256362	1983	30~35
2.4719090002	2.6050451562	1983	35~40
2.4179988886	2.5108381676	1983	40~45
2.1539085257	2.2411492422	1983	45~50
1.8778972694	2.4175146023	1983	50~55
1.5608813329	2.3177196949	1983	55~60
1.2146751732	1.6640822099	1983	60~65
0.8905120226	1.0971585806	1983	65~70
0.6917630565	0.7406014665	1983	70~75
0.4102011342	0.3497185658	1983	75~80
0.2013992361	0.1444397175	1983	80~85
0.0775283816	0.0426810558	1983	85~90
0.0238258213	0.0099358518	1983	90+
4.8992159816	5.2187470535	1984	0~5
5.0805713131	5.3912661437	1984	5~10
4.6701239706	4.9370361432	1984	10~15
4.9209578549	5.1797627105	1984	15~20
5.1301276813	5.3904323382	1984	20~25
4.8221230536	5.0288701242	1984	25~30
4.2086728993	4.3910717988	1984	30~35
2.6488272132	2.7876741933	1984	35~40
2.3748775119	2.4830991808	1984	40~45
2.183285775	2.2435347818	1984	45~50
1.8991993054	2.2972234694	1984	50~55
1.6031668669	2.3636919316	1984	55~60
1.2571008507	1.7355426768	1984	60~65
0.9005414702	1.1235765917	1984	65~70
0.7096891458	0.7810975126	1984	70~75
0.4317120063	0.3755009257	1984	75~80
0.2110629322	0.15575383	1984	80~85
0.0819174633	0.047002511	1984	85~90
0.0251819768	0.0107608114	1984	90+
4.6791249274	4.9851906601	1985	0~5
5.1121515288	5.4292766969	1985	5~10
4.5652790165	4.8251032615	1985	10~15
4.8207902888	5.0802003228	1985	15~20
5.0486529727	5.3044024164	1985	20~25
4.8055473217	5.0217965628	1985	25~30
4.3409733701	4.5286058044	1985	30~35
2.9256607637	3.0775623161	1985	35~40
2.2633786938	2.3689610939	1985	40~45
2.2215744421	2.274412241	1985	45~50
1.9290378783	2.188810347	1985	50~55
1.6488862253	2.3698102266	1985	55~60
1.2979821449	1.8279910893	1985	60~65
0.9300539898	1.1757691705	1985	65~70
0.7186510181	0.8070488368	1985	70~75
0.4522459948	0.3975597791	1985	75~80
0.2265268532	0.1698265362	1985	80~85
0.089252129	0.0528843976	1985	85~90
0.0269806732	0.012038009	1985	90+
4.41050481	4.700743992	1986	0~5
5.0259925095	5.3382675823	1986	5~10
4.6305202879	4.89926179	1986	10~15
4.6943623488	4.9552100914	1986	15~20
4.9868312615	5.2356999678	1986	20~25
4.7954280986	5.0144389162	1986	25~30
4.3795448704	4.5681595884	1986	30~35
3.2863668316	3.4508491994	1986	35~40
2.1993243967	2.3027326452	1986	40~45
2.253335139	2.3071921067	1986	45~50
1.9422185011	2.10824374	1986	50~55
1.6833800791	2.3316576352	1986	55~60
1.3342401247	1.8831229476	1986	60~65
0.9864123796	1.2581576109	1986	65~70
0.7200851378	0.8320022439	1986	70~75
0.4707448562	0.4153450173	1986	75~80
0.2348342172	0.1775480774	1986	80~85
0.092367237	0.0551230447	1986	85~90
0.027346238	0.0124044791	1986	90+
4.1298331408	4.4094730497	1987	0~5
4.9888643909	5.3006208869	1987	5~10
4.6488645633	4.9157288133	1987	10~15
4.626993852	4.8655640732	1987	15~20
4.8473334107	5.0936197244	1987	20~25
4.8203929935	5.0567731018	1987	25~30
4.3878000569	4.5777416589	1987	30~35
3.5446572651	3.7100107934	1987	35~40
2.2372510838	2.3346198557	1987	40~45
2.2624221737	2.3198670115	1987	45~50
1.9871523513	2.0797758784	1987	50~55
1.7155377868	2.2729316741	1987	55~60
1.3684505103	1.9543665631	1987	60~65
1.0326331901	1.3355126309	1987	65~70
0.7317664224	0.8379767615	1987	70~75
0.4947019038	0.4694750472	1987	75~80
0.2478629922	0.1910772162	1987	80~85
0.0986970349	0.0606590314	1987	85~90
0.0293992246	0.0135918816	1987	90+
3.9741566733	4.2640977826	1988	0~5
4.8695783691	5.1762927239	1988	5~10
4.6966139844	4.9773691483	1988	10~15
4.5114116954	4.7421528198	1988	15~20
4.7353072107	4.9751891776	1988	20~25
4.8220449859	5.0487769688	1988	25~30
4.4390817723	4.6307788704	1988	30~35
3.7526716543	3.9150619285	1988	35~40
2.3173138231	2.4189405473	1988	40~45
2.2585398096	2.3234578324	1988	45~50
2.0103789656	2.0596362797	1988	50~55
1.729744076	2.1739970394	1988	55~60
1.4129116505	2.0224665271	1988	60~65
1.0646976704	1.3879447222	1988	65~70
0.7416009614	0.860386811	1988	70~75
0.51455827	0.5027062456	1988	75~80
0.2584843832	0.1988884956	1988	80~85
0.1005693131	0.0650132399	1988	85~90
0.0319127659	0.015264806	1988	90+
3.8414886409	4.1291315836	1989	0~5
4.7026711417	4.9993781189	1989	5~10
4.7697410281	5.0582620957	1989	10~15
4.4015933848	4.621025375	1989	15~20
4.6402597821	4.879010519	1989	20~25
4.7765725418	5.023499266	1989	25~30
4.4837451896	4.6752309803	1989	30~35
3.9032401666	4.0673304464	1989	35~40
2.4808416226	2.5910140442	1989	40~45
2.2340141215	2.3079254439	1989	45~50
2.0390406372	2.0662575465	1989	50~55
1.7548853881	2.0720819452	1989	55~60
1.4582329836	2.0635834827	1989	60~65
1.104041076	1.4509847327	1989	65~70
0.7511539528	0.8786507359	1989	70~75
0.5301294311	0.5320196321	1989	75~80
0.2732208583	0.2143319204	1989	80~85
0.106024894	0.0695603874	1989	85~90
0.0334927734	0.01633213	1989	90+
3.8084769577	4.0992916875	1990	0~5
4.5034275994	4.7768022683	1990	5~10
4.8056288556	5.0897626402	1990	10~15
4.2984995323	4.5071724578	1990	15~20
4.545699405	4.7779002373	1990	20~25
4.7187961751	4.9597856608	1990	25~30
4.4811692193	4.6923517883	1990	30~35
4.0439962051	4.2135343793	1990	35~40
2.741628538	2.8719192228	1990	40~45
2.1399513414	2.2104664383	1990	45~50
2.0778572743	2.0982285202	1990	50~55
1.7788077773	1.9723297113	1990	55~60
1.4968993405	2.0712351489	1990	60~65
1.14746091	1.5310442151	1990	65~70
0.7778472995	0.922092974	1990	70~75
0.5377940284	0.5550086134	1990	75~80
0.2832759963	0.2245297543	1990	80~85
0.1118065732	0.0757598595	1990	85~90
0.0345026948	0.0172586999	1990	90+
3.7830990655	4.0954766639	1991	0~5
4.2194464276	4.4868707309	1991	5~10
4.7342036339	5.0188366584	1991	10~15
4.3548255831	4.5749137708	1991	15~20
4.4273633031	4.6555123159	1991	20~25
4.6552065772	4.8844863379	1991	25~30
4.4851576236	4.6827279133	1991	30~35
4.0858919982	4.264021189	1991	35~40
3.0843405442	3.2213988361	1991	40~45
2.083929544	2.1540310604	1991	45~50
2.1101988073	2.1296204943	1991	50~55
1.7917743769	1.898933365	1991	55~60
1.5338425322	2.0545300988	1991	60~65
1.1805444779	1.5926559817	1991	65~70
0.8291536507	0.9964315441	1991	70~75
0.5449428368	0.582572962	1991	75~80
0.3011380614	0.2419509313	1991	80~85
0.1200679555	0.0820592967	1991	85~90
0.0376640961	0.0201787543	1991	90+
3.7544257642	4.0789761983	1992	0~5
3.972835732	4.2411528701	1992	5~10
4.7160160868	5.0090512629	1992	10~15
4.3690454021	4.5941420269	1992	15~20
4.3590466625	4.5805812364	1992	20~25
4.5364858334	4.7602220528	1992	25~30
4.5238960743	4.7277021137	1992	30~35
4.1217592667	4.2895025444	1992	35~40
3.3301859737	3.4734852174	1992	40~45
2.0954570054	2.1702889184	1992	45~50
2.1103060951	2.1304189443	1992	50~55
1.8314374025	1.8709324238	1992	55~60
1.5568229813	1.9883503147	1992	60~65
1.2075689305	1.6487056295	1992	65~70
0.8670830052	1.0560687975	1992	70~75
0.5572182199	0.5917523281	1992	75~80
0.3209547335	0.2790465548	1992	80~85
0.1258495203	0.0883975107	1992	85~90
0.0414130488	0.0234153175	1992	90+
3.694163526	3.9960770484	1993	0~5
3.841795752	4.1113593558	1993	5~10
4.6121686753	4.8913772416	1993	10~15
4.4218842818	4.6571927891	1993	15~20
4.2508898133	4.4732526376	1993	20~25
4.4421410845	4.6608793081	1993	25~30
4.5297316329	4.7363767405	1993	30~35
4.1765069099	4.344881759	1993	35~40
3.5319614529	3.671444281	1993	40~45
2.172226547	2.2475239357	1993	45~50
2.112727845	2.1318320151	1993	50~55
1.8525186641	1.8535331712	1993	55~60
1.5727433074	1.9122078839	1993	60~65
1.2549072617	1.7218615721	1993	65~70
0.8976054583	1.1086515266	1993	70~75
